# GeoShield Emergency Service Centers Reference Dataset (India-wide OSM-Mapped)
# Source: OpenStreetMap contributors via Humanitarian OpenStreetMap Team (HOT) / Geofabrik (medical, police, fire) & Overpass API (police supplementation only)
# License: Open Data Commons Open Database License (ODbL) 1.0 (https://opendatacommons.org/licenses/odbl/)
# Attribution: (c) OpenStreetMap contributors
# Extraction Date: 2026-09-18T21:00:00Z
# Geographic Scope: India-wide sovereign territory across all 36 States and Union Territories
# Geometry Validation: Point-in-polygon validated against official Survey of India / CGAZ state boundaries
# Categories: MEDICAL (amenity=hospital), RESPONSE_UNIT (amenity=police), FIRE (amenity=fire_station)
# Filtering: Named facilities only; valid coordinates strictly within Indian territory; deduplicated by OSM element ID and 10m spatial proximity
# Coordinate Reference System: WGS84 (EPSG:4326) Decimal Degrees
source_id,name,center_type,latitude,longitude,city,state,phone_number
osm-node-6928304820,Vedanayagam Hospital (P) Limited,MEDICAL,11.0144375,76.9504979,Coimbatore,Tamil Nadu,
osm-node-1473830523,The Eye Foundaton,MEDICAL,11.0134549,76.9496753,Coimbatore,Tamil Nadu,
osm-node-1472215145,Preetam's Cardio Care,MEDICAL,11.0152003,76.9498136,Coimbatore,Tamil Nadu,
osm-node-1472212062,Manonmani Hospital,MEDICAL,11.0147975,76.9475002,Coimbatore,Tamil Nadu,
osm-node-4472726820,Vijaya Hospitals,MEDICAL,11.0148532,76.9489909,Coimbatore,Tamil Nadu,
osm-node-7844131999,Rao Hospital,MEDICAL,11.0131526,76.948405,Coimbatore,Tamil Nadu,
osm-node-1473830522,Arasu Medicals,MEDICAL,11.010593,76.950234,Coimbatore,Tamil Nadu,
osm-node-6914895660,"Vikaram ENT Hospital, Coimbatore",MEDICAL,11.0120021,76.9494063,Coimbatore,Tamil Nadu,
osm-node-1472230522,Rasi Hospital,MEDICAL,11.0097731,76.9503293,Coimbatore,Tamil Nadu,
osm-node-7257183914,Shanmuga Hospital Rs Puram,MEDICAL,11.0029,76.948869,Coimbatore,Tamil Nadu,
osm-node-7257183995,"Rajalakshmi Hospital, Coimbatore",MEDICAL,11.0044176,76.9503459,Coimbatore,Tamil Nadu,
osm-node-13001849060,B-2 R.S.Puram police station,RESPONSE_UNIT,11.0053262,76.9500311,Coimbatore,Tamil Nadu,
osm-node-7257183994,"Muniyappa Hospital, Coimbatore",MEDICAL,11.0060689,76.9527967,Coimbatore,Tamil Nadu,
osm-node-6937527640,Sruti Hospitals,MEDICAL,11.0060677,76.9525994,Coimbatore,Tamil Nadu,
osm-node-6936794080,"Maruthi Hospital, Coimbatore",MEDICAL,11.0031531,76.9513019,Coimbatore,Tamil Nadu,
osm-node-330069980,Saravana Dental Care Hospital,MEDICAL,11.0028292,76.9513725,Coimbatore,Tamil Nadu,
osm-node-7257184001,"Guru Kirupa Hospital, Pn Palayam, Coimbatore",MEDICAL,10.9995252,76.9511992,Coimbatore,Tamil Nadu,
osm-node-7844132004,Iswarya Hospital,MEDICAL,11.0002483,76.9518169,Coimbatore,Tamil Nadu,
osm-node-7844132014,K Jagathnathan Hospital,MEDICAL,10.999154,76.951549,Coimbatore,Tamil Nadu,
osm-node-7844131988,Sri Vishnu Priya Hospital,MEDICAL,10.998711,76.951222,Coimbatore,Tamil Nadu,
osm-node-7257183974,"Seetharam Hospital, Coimbatore",MEDICAL,10.99941,76.948495,Coimbatore,Tamil Nadu,
osm-node-7257183966,"Dr.Manoharan Hospital, Thadagam, Coimbatore",MEDICAL,11.0067511,76.9452484,Coimbatore,Tamil Nadu,
osm-node-6934018833,"Vasan Eye Care Hospital, Coimbatore",MEDICAL,11.0091245,76.9454058,Coimbatore,Tamil Nadu,
osm-node-4703147672,TNAU Hospital,MEDICAL,11.0080012,76.9362691,Coimbatore,Tamil Nadu,
osm-node-5338403022,Telugupalayam Hospital,MEDICAL,10.9842757,76.9297655,Coimbatore,Tamil Nadu,
osm-way-155623691,Dr. Arjun Hospital,MEDICAL,10.984414179999998,76.93020668,Coimbatore,Tamil Nadu,
osm-way-497325630,Seetharam Hospital,MEDICAL,10.98694778,76.93352626,Coimbatore,Tamil Nadu,
osm-node-6936708084,Snekaram Multi Specality Hospital,MEDICAL,10.987562,76.9358088,Coimbatore,Tamil Nadu,
osm-way-497325631,Snekaram Hospital,MEDICAL,10.9873592,76.93578236,Coimbatore,Tamil Nadu,
osm-node-7257184012,"Revathi Hospital, Selvapuram",MEDICAL,10.9882483,76.9400963,Coimbatore,Tamil Nadu,
osm-node-7257183907,"Rani Nursing Home, Selvapuram, Coimbatore",MEDICAL,10.9871756,76.9392029,Coimbatore,Tamil Nadu,
osm-node-7844131991,Vennila Hospital,MEDICAL,10.9901191,76.9421502,Coimbatore,Tamil Nadu,
osm-node-7844132002,Subu Hospital,MEDICAL,10.9920096,76.9520898,Coimbatore,Tamil Nadu,
osm-node-1051328308,Ukkadam Police Station(B2),RESPONSE_UNIT,10.9890037,76.9615341,Coimbatore,Tamil Nadu,
osm-node-7844131994,Welcare Hospital,MEDICAL,10.989403,76.961714,Coimbatore,Tamil Nadu,
osm-node-1474413414,Moses Eye Hospital,MEDICAL,10.9943793,76.9664663,Coimbatore,Tamil Nadu,
osm-node-6933038573,Immaculate Conception Convent Hospital,MEDICAL,10.9943683,76.9642074,Coimbatore,Tamil Nadu,
osm-node-6934340612,Nataraj Medical Care Center Private Limited,MEDICAL,10.994101,76.9569379,Coimbatore,Tamil Nadu,
osm-node-7844132009,Sri Guru Hospital,MEDICAL,10.9920855,76.9574858,Coimbatore,Tamil Nadu,
osm-node-1474803271,B1 POLICE STATION,RESPONSE_UNIT,10.9924847,76.9591307,Coimbatore,Tamil Nadu,
osm-node-6914911765,Vasavi Hospital,MEDICAL,10.9927872,76.9550228,Coimbatore,Tamil Nadu,
osm-node-7844132003,Rajagambiram Dental Hospital,MEDICAL,10.9923475,76.9559691,Coimbatore,Tamil Nadu,
osm-way-762182378,"Police Station,Vattappara",RESPONSE_UNIT,8.592828344444444,76.9531284111111,Thiruvananthapuram,Kerala,
osm-way-763036790,PMS Dental Collage,MEDICAL,8.603543433333334,76.95450843999998,Thiruvananthapuram,Kerala,
osm-way-753481837,SUT Medical College Hospital,MEDICAL,8.600492229166667,76.97027724583334,Thiruvananthapuram,Kerala,
osm-way-886155521,District Hospital Nedumangadu,MEDICAL,8.603892717857141,77.00055337500001,Thiruvananthapuram,Kerala,
osm-node-2888745551,Government District Hospital,MEDICAL,8.603885,77.0007731,Thiruvananthapuram,Kerala,
osm-way-240227365,Nedumangad Traffic Police Station,RESPONSE_UNIT,8.604931440000001,77.00316126,Thiruvananthapuram,Kerala,
osm-way-253618398,Venad Hospital,MEDICAL,8.60181124,77.00756284,Thiruvananthapuram,Kerala,
osm-way-679417324,"Police Station, Nedumangadu",RESPONSE_UNIT,8.609184840000001,77.00214008,Thiruvananthapuram,Kerala,
osm-node-1626529110,RIMS,MEDICAL,8.6018701,76.992477,Thiruvananthapuram,Kerala,
osm-node-7489381762,Family Health centre Anad,MEDICAL,8.6395769,77.003322,Thiruvananthapuram,Kerala,
osm-way-1066642612,"Police Station ,Valiamala",RESPONSE_UNIT,8.631393533333332,77.0314771,Thiruvananthapuram,Kerala,
